,0,1,2,3,4,5,6,7,8,9
0,-1.9307643161473218e-10,-1.6092042159024615e-10,-1.4748087437935838e-10,-1.4685059787951252e-10,-1.4685059797712645e-10,-1.4685059803287842e-10,-1.642898160226477e-10,-1.6763830360192895e-10,0.0,-1.987736134659921e-10
1,-8.163014972719047e-09,-6.80383057059655e-09,-6.263437214431875e-09,-6.188562620402138e-09,-6.188562777233994e-09,-6.188562868912817e-09,-6.822807386727631e-09,-6.949836283764329e-09,0.0,-8.405620332694478e-09
2,-4.08103818079561e-09,-3.4183306057784463e-09,-3.163004579488751e-09,-3.0993136385075612e-09,-3.0993136733163802e-09,-3.0993136940232123e-09,-3.3770569721335286e-09,-3.4373975823070573e-09,0.0,-4.200597367687625e-09
3,-4.25730631670793e-09,-3.601365628772443e-09,-3.3469392705181834e-09,-3.2399070787320844e-09,-3.2399071139316238e-09,-3.2399071353638073e-09,-3.522917683261603e-09,-3.6108508034270064e-09,0.0,-4.374916275128157e-09
4,-1.0753898483463396e-08,-9.10735594977428e-09,-8.473650249410255e-09,-8.21700588630091e-09,-8.217006140953319e-09,-8.217006266027898e-09,-8.920135853732782e-09,-9.143234549440805e-09,0.0,-1.1050700800530899e-08
5,-6.595354050080639e-11,-5.54541243654097e-11,-5.147904758653928e-11,-5.02377073425958e-11,-5.023770735113768e-11,-5.023770735610862e-11,-5.426728498555935e-11,-5.5689774490693494e-11,0.0,-6.786895029566307e-11
6,-8.120794518567246e-09,-6.82046797662174e-09,-6.329313357244484e-09,-6.2191698769994e-09,-6.2191700217608775e-09,-6.2191701013496285e-09,-6.739845571334509e-09,-6.893268977647466e-09,0.0,-8.358595146991916e-09
7,-3.6727516439622568e-09,-3.073664391151044e-09,-2.845884272442907e-09,-2.810878890591291e-09,-2.810878925376949e-09,-2.810878916550786e-09,-3.072166234232386e-09,-3.1421930070601267e-09,0.0,-3.781966338208486e-09
8,-5.694445504207291e-09,-4.7724236204479385e-09,-4.414525070911879e-09,-4.363230673468946e-09,-4.3632307424686734e-09,-4.363230876092091e-09,-4.7724772159158926e-09,-4.874400209282826e-09,0.0,-5.863726797438524e-09
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,-2.288587064945006e-10,-1.923530506079945e-10,-1.7798003678317691e-10,-1.7712250766906595e-10,-1.7712250779495292e-10,-1.77122507869108e-10,-1.9457149254415476e-10,-1.9953791525374162e-10,0.0,-2.3564070658392676e-10
11,-4.473801661603946e-09,-3.739213783871722e-09,-3.4362482748387174e-09,-3.4473576761813616e-09,-3.447357735628516e-09,-3.447357770792242e-09,-3.846657977228073e-09,-3.9860367772895696e-09,0.0,-4.6063048050511614e-09
